player,salary,contract_years,total_value,aa,year
Hyun Jin Ryu,20000000,4,80000000,20000000,2021
Tyler Anderson,2500000,1,2500000,2500000,2021
Yu Darvish,23000000,6,126000000,21000000,2021
Rich Hill,2500000,1,2500000,2500000,2021
Nick Pivetta,613500,1,613500,613500,2021
Corey Kluber,8000000,1,8000000,8000000,2022
Yusei Kikuchi,10000000,3,36000000,12000000,2023
Freddy Peralta,3734960,5,15500000,3100000,2023
Cristian Javier,3400000,5,64000000,12800000,2023
Kyle Gibson,12000000,1,10000000,10000000,2024
MacKenzie Gore,749600,1,749600,749600,2024
Charlie Morton,20000000,1,20000000,20000000,2024
Brayan Bello,1166667,6,55000000,9166667,2024
Ryan Feltner,745000,1,745000,745000,2024
Aaron Civale,4900000,1,4900000,4900000,2024
Jeffrey Springs,10500000,4,31000000,7750000,2025
Chris Bassitt,22000000,3,63000000,21000000,2025
Jose Soriano,790000,1,790000,790000,2025
David Peterson,4625000,1,4625000,4625000,2025
Dylan Cease,13750000,1,13750000,13750000,2025
Ryan Pepiot,774600,1,774600,774600,2025
Jose Berrios,19000000,7,131000000,18714285,2025
Jack Flaherty,25000000,2,35000000,17500000,2025
Tomoyuki Sugano,13000000,1,13000000,13000000,2025
